Datetime,Symbol,Side,Quantity,Price,Total,P/L
2025-10-26 00:01:38.597086,SPY,BUY,155.0,322.41,49973.55,
2025-10-26 00:01:38.657252,SPY,SELL,155.0,326.89,50667.95,694.40
2025-10-26 00:01:38.676676,SPY,BUY,154.0,329.06,50675.24,
2025-10-26 00:01:38.723024,SPY,SELL,154.0,322.42,49652.68,-1022.56
2025-10-26 00:01:38.839750,SPY,BUY,177.0,281.59,49841.43,
2025-10-26 00:01:38.848197,SPY,SELL,177.0,273.04,48328.08,-1513.35
2025-10-26 00:01:38.875427,SPY,BUY,177.0,282.79,50053.83,
2025-10-26 00:01:38.883152,SPY,SELL,177.0,283.57,50191.89,138.06
2025-10-26 00:01:38.918463,SPY,BUY,173.0,291.97,50510.81,
2025-10-26 00:01:38.982955,SPY,SELL,173.0,312.96,54142.08,3631.27
2025-10-26 00:01:38.990473,SPY,BUY,168.0,311.66,52358.88,
2025-10-26 00:01:39.011119,SPY,SELL,168.0,304.09,51087.12,-1271.76
2025-10-26 00:01:39.100934,SPY,BUY,155.0,334.33,51821.15,
2025-10-26 00:01:39.202910,SPY,SELL,155.0,326.97,50680.35,-1140.80
2025-10-26 00:01:39.232999,SPY,BUY,154.0,333.84,51411.36,
2025-10-26 00:01:39.240817,SPY,SELL,154.0,339.76,52323.04,911.68
2025-10-26 00:01:39.265743,SPY,BUY,148.0,347.93,51493.64,
2025-10-26 00:01:39.296046,SPY,SELL,148.0,339.39,50229.72,-1263.92
2025-10-26 00:01:39.325664,SPY,BUY,147.0,350.16,51473.52,
2025-10-26 00:01:39.481146,SPY,SELL,147.0,378.65,55661.55,4188.03
2025-10-26 00:01:39.501441,SPY,BUY,137.0,384.39,52661.43,
2025-10-26 00:01:39.547573,SPY,SELL,137.0,374.41,51294.17,-1367.26
2025-10-26 00:01:39.640534,SPY,BUY,132.0,394.06,52015.92,
2025-10-26 00:01:39.759297,SPY,SELL,132.0,415.75,54879.00,2863.08
2025-10-26 00:01:39.922802,SPY,BUY,122.0,439.01,53559.22,
2025-10-26 00:01:40.045029,SPY,SELL,122.0,433.63,52902.86,-656.36
2025-10-26 00:01:40.102467,SPY,BUY,119.0,447.19,53215.61,
2025-10-26 00:01:40.197033,SPY,SELL,119.0,464.60,55287.40,2071.79
2025-10-26 00:01:40.342334,SPY,BUY,120.0,449.32,53918.40,
2025-10-26 00:01:40.354399,SPY,SELL,120.0,439.02,52682.40,-1236.00
2025-10-26 00:01:40.365036,SPY,BUY,120.0,446.60,53592.00,
2025-10-26 00:01:40.372322,SPY,SELL,120.0,437.06,52447.20,-1144.80
2025-10-26 00:01:40.455347,SPY,BUY,116.0,458.70,53209.20,
2025-10-26 00:01:40.475607,SPY,SELL,116.0,446.52,51796.32,-1412.88
2025-10-26 00:01:40.585816,SPY,BUY,128.0,409.59,52427.52,
2025-10-26 00:01:40.613578,SPY,SELL,128.0,389.80,49894.40,-2533.12
2025-10-26 00:01:40.717195,SPY,BUY,133.0,380.83,50650.39,
2025-10-26 00:01:40.818988,SPY,SELL,133.0,419.51,55794.83,5144.44
2025-10-26 00:01:41.077500,SPY,BUY,138.0,388.08,53555.04,
2025-10-26 00:01:41.389660,SPY,SELL,138.0,414.65,57221.70,3666.66
2025-10-26 00:01:41.436078,SPY,BUY,126.0,437.18,55084.68,
2025-10-26 00:01:41.496295,SPY,SELL,126.0,439.66,55397.16,312.48
2025-10-26 00:01:41.508090,SPY,BUY,126.0,438.55,55257.30,
2025-10-26 00:01:41.524423,SPY,SELL,126.0,442.46,55749.96,492.66
2025-10-26 00:01:42.253220,SPY,BUY,113.0,494.08,55831.04,
2025-10-26 00:01:42.265617,SPY,SELL,113.0,498.57,56338.41,507.37
2025-10-26 00:01:42.356603,SPY,BUY,109.0,515.71,56212.39,
2025-10-26 00:01:42.410136,SPY,SELL,109.0,519.41,56615.69,403.29
2025-10-26 00:01:42.433552,SPY,BUY,109.0,519.32,56605.88,
2025-10-26 00:01:42.459713,SPY,SELL,109.0,504.45,54985.05,-1620.83
2025-10-26 00:01:42.580785,SPY,BUY,107.0,525.96,56277.72,
2025-10-26 00:01:42.898902,SPY,SELL,107.0,550.81,58936.67,2658.95
2025-10-26 00:01:43.250261,SPY,BUY,99.0,579.78,57398.22,
2025-10-26 00:01:43.331436,SPY,SELL,99.0,576.70,57093.30,-304.92
2025-10-26 00:01:43.368891,SPY,BUY,97.0,593.35,57554.95,
2025-10-26 00:01:43.389552,SPY,SELL,97.0,590.30,57259.10,-295.85
2025-10-26 00:01:43.400685,SPY,BUY,98.0,590.50,57869.00,
2025-10-26 00:01:43.594471,SPY,SELL,98.0,604.52,59242.96,1373.96
2025-10-26 00:01:43.604384,SPY,BUY,97.0,601.81,58375.57,
2025-10-26 00:01:43.626975,SPY,SELL,97.0,601.78,58372.66,-2.91
2025-10-26 00:01:43.776728,SPY,BUY,103.0,564.52,58145.56,
2025-10-26 00:01:43.787403,SPY,SELL,103.0,536.70,55280.10,-2865.46
